,hour,date,month,covariance
13,7.0,3.0,1.0,0.5057871267499819
16,10.0,3.0,1.0,0.6367928410547232
19,13.0,3.0,1.0,0.5466537220242418
21,15.0,3.0,1.0,0.502988411903562
22,16.0,3.0,1.0,0.5124615304396999
23,17.0,3.0,1.0,0.5107078785500769
86,16.0,8.0,1.0,0.7201101171683947
87,6.0,9.0,1.0,0.5269929435910199
88,7.0,9.0,1.0,0.5259840948987347
97,16.0,9.0,1.0,0.5223430255420027
98,17.0,9.0,1.0,0.5183859424638289
99,7.0,10.0,1.0,0.5198244156620384
101,10.0,10.0,1.0,0.6069200623731502
104,16.0,10.0,1.0,0.5082972620667385
105,17.0,10.0,1.0,0.508758347417615
159,16.0,22.0,1.0,0.5886323127565221
160,17.0,22.0,1.0,0.5763111896607757
169,13.0,23.0,1.0,0.5324799389348419
170,14.0,23.0,1.0,0.5311729743070881
183,10.0,24.0,1.0,0.5089174322555908
264,13.0,29.0,1.0,0.5657986408284439
265,14.0,29.0,1.0,0.5366360784105655
271,6.0,30.0,1.0,0.5556878752372273
272,7.0,30.0,1.0,0.5195545112213322
275,10.0,30.0,1.0,0.5816530074924303
276,11.0,30.0,1.0,0.5422230370565484
281,16.0,30.0,1.0,0.514954947843834
335,17.0,21.0,2.0,0.5959781454472854
417,8.0,24.0,5.0,0.504782453711506
418,9.0,24.0,5.0,0.5137611454509261
420,11.0,24.0,5.0,0.5482092332356356
561,16.0,12.0,11.0,0.5569198703369915
562,17.0,12.0,11.0,0.5405791942730933
720,10.0,3.0,12.0,0.5037248676117285
721,11.0,3.0,12.0,0.5017557143872059
