,index,hour,date,month,covariance,value
0,13,7.0,3.0,1.0,0.5057871267499819,111.882
1,16,10.0,3.0,1.0,0.6368913500083716,111.86400000000002
2,19,13.0,3.0,1.0,0.5464165451158545,120.21
3,21,15.0,3.0,1.0,0.502988411903562,115.74400000000001
4,22,16.0,3.0,1.0,0.5123477432444392,111.758
5,23,17.0,3.0,1.0,0.5107078785500769,112.98599999999999
6,86,16.0,8.0,1.0,0.7201693285563184,115.74000000000001
7,87,6.0,9.0,1.0,0.5269515075228257,111.91600000000001
8,88,7.0,9.0,1.0,0.5259840948987347,108.86600000000001
9,97,16.0,9.0,1.0,0.5223430255420028,108.424
10,98,17.0,9.0,1.0,0.5185644729431199,109.512
11,99,7.0,10.0,1.0,0.5197132533442625,116.894
12,101,10.0,10.0,1.0,0.6071459903258685,109.56800000000001
13,104,16.0,10.0,1.0,0.5083756081503121,114.432
14,105,17.0,10.0,1.0,0.5088152194858718,113.156
15,159,16.0,22.0,1.0,0.5886519271660642,120.4
16,160,17.0,22.0,1.0,0.5763416048832964,112.67000000000002
17,169,13.0,23.0,1.0,0.5293941850656304,123.75200000000001
18,170,14.0,23.0,1.0,0.5314207440181096,119.56600000000002
19,183,10.0,24.0,1.0,0.5083822261486513,105.5
20,264,13.0,29.0,1.0,0.5649592995164199,113.31
21,265,14.0,29.0,1.0,0.5368978067216801,115.72200000000001
22,271,6.0,30.0,1.0,0.5556175268854576,110.44800000000001
23,272,7.0,30.0,1.0,0.5195545112213322,113.136
24,275,10.0,30.0,1.0,0.5821801311177913,106.48800000000001
25,276,11.0,30.0,1.0,0.5409607619973655,106.506
26,281,16.0,30.0,1.0,0.5150494899294182,113.062
27,335,17.0,21.0,2.0,0.5959603294806064,121.07400000000001
28,417,8.0,24.0,5.0,0.5047824537115054,132.918
29,418,9.0,24.0,5.0,0.507980381021558,135.268
30,420,11.0,24.0,5.0,0.5459606236250578,137.596
31,561,16.0,12.0,11.0,0.5569415995000176,108.272
32,562,17.0,12.0,11.0,0.5405791942730933,103.734
33,720,10.0,3.0,12.0,0.5037248676117285,90.412
34,721,11.0,3.0,12.0,0.5017702984372285,88.23400000000001
